symbol,date,close,prediction,probability,confidence
NSE:DALMIASUG-EQ,2025-01-30,341.55,1.0,0.55,0.55
NSE:DAMCAPITAL-EQ,2025-01-30,300.3,1.0,0.52,0.52
NSE:DATAMATICS-EQ,2025-01-30,601.2,1.0,0.57,0.57
NSE:DATAPATTNS-EQ,2025-01-30,2129.6,1.0,0.53,0.53
NSE:DBCORP-EQ,2025-01-30,257.1,1.0,0.56,0.56
NSE:DBEIL-EQ,2025-01-30,167.62,1.0,0.55,0.55
NSE:DBL-EQ,2025-01-30,405.8,1.0,0.54,0.54
NSE:DBOL-EQ,2025-01-30,92.32,1.0,0.61,0.61
NSE:DBREALTY-BE,2025-01-30,157.29,1.0,0.59,0.59
NSE:DCAL-BE,2025-01-30,229.0,1.0,0.6,0.6
NSE:DCBBANK-EQ,2025-01-30,117.54,1.0,0.57,0.57
NSE:DCMSRIND-EQ,2025-01-30,166.21,1.0,0.62,0.62
NSE:DCW-EQ,2025-01-30,79.29,1.0,0.62,0.62
NSE:DCXINDIA-EQ,2025-01-30,318.85,1.0,0.61,0.61
NSE:DDEVPLSTIK-EQ,2025-01-30,287.8,1.0,0.58,0.58
NSE:DEEDEV-EQ,2025-01-30,279.2,1.0,0.59,0.59
NSE:DEEPAKFERT-EQ,2025-01-30,1120.9,1.0,0.54,0.54
NSE:DEEPAKNTR-EQ,2025-01-30,2272.85,1.0,0.6,0.6
NSE:DEEPINDS-EQ,2025-01-30,544.65,1.0,0.51,0.51
NSE:DELHIVERY-EQ,2025-01-30,322.6,1.0,0.59,0.59
NSE:DELTACORP-EQ,2025-01-30,100.27,1.0,0.6,0.6
NSE:DEN-EQ,2025-01-30,39.08,1.0,0.59,0.59
NSE:DENTA-EQ,2025-01-30,326.7,1.0,0.56,0.56
NSE:DEVIT-EQ,2025-01-30,148.77,1.0,0.59,0.59
NSE:DEVYANI-EQ,2025-01-30,165.37,1.0,0.61,0.61
NSE:DHAMPURSUG-EQ,2025-01-30,148.77,1.0,0.6,0.6
NSE:DHANBANK-EQ,2025-01-30,25.47,1.0,0.58,0.58
NSE:DHANI-EQ,2025-01-30,78.44,1.0,0.58,0.58
NSE:DIACABS-EQ,2025-01-30,113.47,1.0,0.57,0.57
NSE:DIAMONDYD-EQ,2025-01-30,964.65,1.0,0.54,0.54
NSE:DIFFNKG-EQ,2025-01-30,267.2,1.0,0.56,0.56
NSE:DIGIDRIVE-EQ,2025-01-30,35.77,1.0,0.54,0.54
NSE:DIGISPICE-EQ,2025-01-30,24.49,1.0,0.58,0.58
NSE:DIVISLAB-EQ,2025-01-30,5735.9,1.0,0.61,0.61
NSE:DIXON-EQ,2025-01-30,14659.85,1.0,0.59,0.59
NSE:DLF-EQ,2025-01-30,750.05,1.0,0.54,0.54
NSE:DLINKINDIA-EQ,2025-01-30,456.65,1.0,0.53,0.53
NSE:DMART-EQ,2025-01-30,3575.4,1.0,0.56,0.56
NSE:DODLA-EQ,2025-01-30,1091.1,1.0,0.52,0.52
NSE:DOLATALGO-EQ,2025-01-30,102.58,1.0,0.54,0.54
NSE:DOMS-EQ,2025-01-30,2442.0,1.0,0.55,0.55
NSE:DONEAR-EQ,2025-01-30,124.27,1.0,0.58,0.58
NSE:DPSCLTD-EQ,2025-01-30,15.16,1.0,0.58,0.58
NSE:DRCSYSTEMS-BE,2025-01-30,25.19,1.0,0.55,0.55
NSE:DREAMFOLKS-BE,2025-01-30,355.5,1.0,0.56,0.56
NSE:DRREDDY-EQ,2025-01-30,1194.5,1.0,0.58,0.58
NSE:DWARKESH-EQ,2025-01-30,50.07,1.0,0.59,0.59
NSE:DYCL-EQ,2025-01-30,412.68,1.0,0.54,0.54
NSE:ECLERX-EQ,2025-01-30,3004.0,1.0,0.58,0.58
NSE:ECOSMOBLTY-EQ,2025-01-30,238.8,1.0,0.56,0.56
NSE:EDELWEISS-EQ,2025-01-30,106.46,1.0,0.58,0.58
NSE:EICHERMOT-EQ,2025-01-30,5164.35,1.0,0.59,0.59
NSE:EIDPARRY-EQ,2025-01-30,819.8,1.0,0.6,0.6
NSE:EIEL-EQ,2025-01-30,254.25,1.0,0.56,0.56
NSE:EIHOTEL-EQ,2025-01-30,361.05,1.0,0.61,0.61
NSE:EKC-EQ,2025-01-30,150.77,1.0,0.61,0.61
NSE:ELECON-EQ,2025-01-30,520.15,1.0,0.58,0.58
NSE:ELECTCAST-EQ,2025-01-30,126.4,1.0,0.51,0.51
NSE:ELGIEQUIP-EQ,2025-01-30,530.25,1.0,0.62,0.62
NSE:ELIN-BE,2025-01-30,153.24,1.0,0.58,0.58
NSE:EMAMILTD-EQ,2025-01-30,571.05,1.0,0.59,0.59
NSE:EMBDL-EQ,2025-01-30,145.85,1.0,0.58,0.58
NSE:EMCURE-EQ,2025-01-30,1219.45,1.0,0.61,0.61
NSE:EMIL-EQ,2025-01-30,145.5,1.0,0.58,0.58
NSE:EMMBI-EQ,2025-01-30,126.21,1.0,0.59,0.59
NSE:EMSLIMITED-EQ,2025-01-30,797.65,1.0,0.56,0.56
NSE:EMUDHRA-EQ,2025-01-30,695.6,1.0,0.59,0.59
NSE:EMULTIMQ-EQ,2025-01-30,39.98,1.0,0.55,0.55
NSE:ENGINERSIN-EQ,2025-01-30,166.85,1.0,0.55,0.55
NSE:ENTERO-EQ,2025-01-30,1346.7,1.0,0.53,0.53
NSE:EPACK-EQ,2025-01-30,441.3,1.0,0.54,0.54
NSE:EPL-EQ,2025-01-30,216.05,1.0,0.58,0.58
NSE:EQUITASBNK-EQ,2025-01-30,66.23,1.0,0.59,0.59
NSE:ERIS-EQ,2025-01-30,1193.4,1.0,0.6,0.6
NSE:ESAFSFB-EQ,2025-01-30,36.81,1.0,0.59,0.59
NSE:ESCORTS-EQ,2025-01-30,3590.95,1.0,0.6,0.6
NSE:ESSARSHPNG-BE,2025-01-30,32.39,1.0,0.51,0.51
NSE:ESTER-EQ,2025-01-30,147.26,1.0,0.58,0.58
NSE:ETERNAL-EQ,2025-01-30,218.8,1.0,0.61,0.61
NSE:EUREKAFORB-EQ,2025-01-30,519.9,1.0,0.55,0.55
NSE:EVINDIA-EQ,2025-01-30,28.2,1.0,0.56,0.56
NSE:EXICOM-EQ,2025-01-30,227.8,1.0,0.55,0.55
NSE:EXIDEIND-EQ,2025-01-30,360.0,1.0,0.56,0.56
NSE:FACT-EQ,2025-01-30,891.0,1.0,0.55,0.55
NSE:FCL-EQ,2025-01-30,325.1,1.0,0.55,0.55
NSE:FEDERALBNK-EQ,2025-01-30,184.96,1.0,0.58,0.58
NSE:FEDFINA-EQ,2025-01-30,94.11,1.0,0.62,0.62
NSE:FILATEX-EQ,2025-01-30,48.07,1.0,0.55,0.55
NSE:FINCABLES-EQ,2025-01-30,1002.7,1.0,0.58,0.58
NSE:FINIETF-EQ,2025-01-30,25.24,1.0,0.6,0.6
NSE:FINOPB-EQ,2025-01-30,286.3,1.0,0.6,0.6
NSE:FINPIPE-EQ,2025-01-30,202.15,1.0,0.55,0.55
NSE:FIRSTCRY-EQ,2025-01-30,476.65,1.0,0.61,0.61
NSE:FIVESTAR-EQ,2025-01-30,750.95,1.0,0.59,0.59
NSE:FLAIR-EQ,2025-01-30,243.9,1.0,0.57,0.57
NSE:FLUOROCHEM-EQ,2025-01-30,3592.25,1.0,0.56,0.56
NSE:FMCGIETF-EQ,2025-01-30,58.38,1.0,0.6,0.6
NSE:FMNL-BE,2025-01-30,19.4,1.0,0.58,0.58
NSE:FOCUS-BE,2025-01-30,100.65,1.0,0.59,0.59
NSE:FOODSIN-BE,2025-01-30,109.85,1.0,0.58,0.58
NSE:FORTIS-EQ,2025-01-30,647.75,1.0,0.53,0.53
NSE:FSL-EQ,2025-01-30,341.25,1.0,0.61,0.61
NSE:FUSION-EQ,2025-01-30,164.31,0.0,0.5,0.5
NSE:GABRIEL-EQ,2025-01-30,452.8,1.0,0.51,0.51
NSE:GAEL-EQ,2025-01-30,114.68,1.0,0.55,0.55
NSE:GAIL-EQ,2025-01-30,167.11,0.0,0.5,0.5
NSE:GALAPREC-EQ,2025-01-30,995.55,0.0,0.5,0.5
